Name,ratings,Number of ratings,catagory,address,open 24 hrs,link,comments
Farazy Diagonistic & Hospital Ltd Natun Bazar,4.1,31,Hospital,QCXH+644,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""Very ill managed hospital."""
Senior Citizen Hospital - Baridhara,4.5,37,Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""Specialized hospital for all age people specially for old aged patients."""
Advance Hospital Ltd.,3.7,59,Private hospital,"House #1, Main Road, Block #F",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""The hospital are new,very use full hospital."""
Farazy Hospital Ltd.,3.7,348,Private hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""Well known hospital in Banasree."""
Tulip Medical Center,3.7,13,Medical Center,90/A premier plaza north,No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Uposom clinic,4.8,5,Hospital,,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Malancha Medical Services Ltd.,5,2,Medical Center,Closed,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Dr Rokeya's Clinic,,,Hospital,QCJH+7PG,No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Uddipan Sastho Sheba Kendro,5,8,Medical Center,9-10 Vhatara Rd,No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
napa medical hall,5,1,Hospital,"222,alir mour, Satarkul Rd",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Shakib 75,5,2,Medical Center,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Sauer Health Care,5,1,Hospital,"QCQQ+J5R, Satarkul Rd",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Quest Medical Centre,5,1,Medical Center,"GA-2, 1 Bir Uttam Rafiqul Islam Ave",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
মেডিকেয়ার ডায়াগনস্টিক এন্ড কনসালটেশন সেন্টার,5,2,Hospital,"QCRG+J3X, Bir Uttam Rafiqul Islam Ave",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Baridhara General Hospital Limited,5,6,Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""Amazing hospital with experienced doctors and satisfied by their services."""
Bumrungrad International Hospital Bangladesh,5,2,Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Boshir Dental Clinic,,,Hospital,QCGG+8J7,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Asarunnesa Memorial Hospital,5,2,Hospital,"QFW7+Q3H, Mogardia, Satarkul road, Uttar Badda",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Mohaimid Medical Center,2.7,32,Hospital,মাদানী সরণি,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
National inustituit shamoli,,,Hospital,"QCCJ+H6H, Ananda Nagar Rd",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Medicine Reviewer,,,Medical Center,"QCFQ+RW7, Shahabuddin mor,Badda Post office road Dhaka",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Dhaka Healthcare Systems Ltd.,4,2,Hospital,"House # 07 Road # 08 , Madani Avenue, baridhara j block Rd",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Sunnah Prescription Point,5,1,Hospital,QCQF+WV3,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
আল-ইহসান ব্লাড ফাউন্ডেশন,5,2,Hospital,QCXF+9H9,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
M R Dental Care,5,1,Hospital,"QCCG+J5P, Merul Bus Stop, Bir Uttam Rafiqul Islam Ave",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Evercare Hospital Dhaka,4,"2,073",Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""The hospital has lots of experienced own doctors."""
BMOS Hospital LTD,3,1,Hospital,"QC6Q+WHG, ব্লক # এফ",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
MedPark Hospital Bangladesh Office,,,Hospital,Plot 2 Rd 21,No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Bumrungrad Hospital Bangladesh | Patient Support Center In Gulshan Dhaka | Book Your Doctor Appointment at Bumrungrad,4.8,16,Medical Center,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""All kinds of services are available in the hospital."""
Gulshan Maa O Shishu Clinic Ltd.,4.5,31,Hospital,Yes,01715-424437,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""Not a great hospital, infrastructure-wise"""
মডার্ন ডেন্টাল কেয়ার,5,1,Hospital,·,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Famous Specialized Hospital,4.2,24,Hospital,"House-05, Block-H Main Road",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""Overall the hospital is neat and clean."""
Health Revolution,4.6,109,Hospital,Closes soon,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
সূর্যের হাসি ক্লিনিক,4.7,3,Hospital,"Ayasa General Store (1st Floor) Gha-1076,Sahajadpur, Vatara 1212",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
আল-রাজী ইসলামিয়া হসপিটাল (প্রা) লিমিটেড,3.8,70,Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""This Hospital is under a charity organization."""
Bumrungrad Hospital Dhaka Office,4.9,36,Medical Center,Closed,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""We are so blessed in Bangkok to have one of the top hospitals in the nation."""
বসুতি মা ও শিশু হাসপাতাল লিঃ,4.3,4,Hospital,"House 2, Block # G, Banasree Main Rd",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Mostafa Health Care,5,2,Medical Center,"House-1, Banasree Main Rd",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
"Brac Meternity Centre, Badda",,,Hospital,"QCMH+MW2, 298 Shadhinota Sharoni (Jamtola Mor) North, Shadhinata Sharani",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Bangladesh Thalassemia & Cancer Hospital,1,1,Hospital,House-6 Banasree Main Rd,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Infertility Solution By Dr. Md Rafiqul Islam Bhuiyan,4.5,6,Hospital,"level 3-4, Plot 10, Block E",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Brothers Telecom & Servicing Centre,,,Hospital,,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
United Hospital Limited,4,"1,508",Private hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""Over all this hospital is one of the renowned hospital of Bangladesh."""
Baridhara Genarel Hospital Ltd.,3.7,23,Hospital,·,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
ANAS MEDICAL CENTER,5,2,Medical Center,Closed,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Lions Eye Hospital,3.8,36,Eye care center,Closes soon,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""Good hospital for common people living in Badda, Dhaka"""
Shuprovath Family Clinic,,,Hospital,RC59+CJF,No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
ZAINUL HAQUE SIKDER WOMEN'S MEDICAL COLLEGE & HOSPITAL (PVT.) LTD.,4.1,18,Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""Neat & Clean hospital."""
Gulshan Maa O Shishu Clinic Limited,3.6,30,Medical clinic,"QCWG+R5Q, Kolotan School Rd",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""A hospital for maternal health"""
IndoMedHub Bangladesh,,,Medical Center,Closed,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Call A Doctor BD,4.5,2,Medical Center,"House #14/A (5th floor, Rd No. 1/A",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
LABAID GULSHAN,3.7,143,Private hospital,Open,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""A very good medical center, hospital and laboratory."""
"Delta Health Care, Rampura Limited",3.6,48,Private hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""Hospital Authority’s Should  more modified the patients cabin"""
BIEDEM (BIHS) Gulshan,5,1,Hospital,"building 19, 20 Rd 113",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
twelve rivers trust,,,Hospital,"Flat-6C, H-7 Rd 33",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
মা ও শিশু কমিউনিটি স্বাস্থ্য কেন্দ্র,3.3,3,Hospital,BLOCK # B,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Nanavati Max,,,Hospital,,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Popular Medical College Hospital,3.7,3,Medical Center,,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Upazila Health Complex,,,Government hospital,RC66+4XQ,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Dhaka Metro Eye Hospital,3.6,9,Hospital,"ka-51, Pragati Avenue, Kuril Chowrasta (Vatara), Dhaka-1229, Pragati Ave",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Medica Diagnostic & Hospital Management Software,5,1,Hospital,"QCV4+GV6, Kemal Ataturk Ave",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Al-Humyra Health Centre Ltd,3.9,25,Medical Center,,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
"International Health Centre Ltd, Kuril Biswha Road",3.7,19,Private hospital,Open,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
York Hospital,4.3,28,Hospital,"House no.12 &, 13 Rd 22, Block#K",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""The hospital is good in cleanliness, professionalisms and service"""
Shahabuddin Medical College Hospital,3.9,191,Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Cure Medical Center,4.5,12,Hospital,16 Rd No 16 Dhaka 1212 Rd 16,No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Dogma Diagnostic Center,4,7,Diagnostic center,QCPG+X6X,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
American Hospital,3.4,7,Hospital,"G-2,Main Road,South",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Surecell Medical Bangladesh Ltd.,4.3,44,Hospital,Closed,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""Hospitals clinical diagnosis is very sharp."""
City Medical,,,Hospital,"QCH5+FFM, TB Gate Rd",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Gulshan shasthoseba kendra,5,1,Hospital,"QCR9+2V3, Rd No 113/A",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
NIDCH,4.2,521,Government hospital,Yes,02-55067131,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""hospitals but mess people and patients gathering here."""
"BRAC MATERNITY CENTER (BMC), Korail",,,Maternity hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
BGMEA HEALTH CENTER Niketon,,,Hospital,"Block G Road 14/A, Rd No 3",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
SB diagnostic center,5,1,Hospital,189/B Bir Uttam Mir Shawkat Sarak,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Bangladesh Multicare Hospital,4.1,15,Hospital,382 DIT Rd,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""Newly opened hospital."""
National Ashtma Center,4.3,11,Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Hospital,,,Hospital,01674-179400,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka-1212",4.1,396,Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""I liked the spacious hospital."""
LABAID GULSHAN,3.7,143,Private hospital,"House # 13/A(4th Floor, Road#35",No,http://labaidgroup.com/specialized,"""A very good medical center, hospital and laboratory."""
Cure Medical Center,4.5,12,Hospital,16 Rd No 16 Dhaka 1212 Rd 16,No,,
United Hospital Limited,4,"1,508",Private hospital,Plot 15 Rd No 71,Yes,https://www.uhlbd.com/,"""Over all this hospital is one of the renowned hospital of Bangladesh."""
York Hospital,4.3,28,Hospital,"House no.12 &, 13 Rd 22, Block#K",Yes,,"""The hospital is good in cleanliness, professionalisms and service"""
BIEDEM (BIHS) Gulshan,5,1,Hospital,"building 19, 20 Rd 113",No,,
লেক ভিউ ক্লিনিক,4.2,55,Hospital,"Lake View Poly Clinic, House-5 Rd No 79",Yes,,
Gulshan shasthoseba kendra,5,1,Hospital,"QCR9+2V3, Rd No 113/A",No,http://labaidgroup.com/specialized,
BGMEA HEALTH CENTER,5,1,Hospital,"Niketan, G64",No,,
ZAINUL HAQUE SIKDER WOMEN'S MEDICAL COLLEGE & HOSPITAL (PVT.) LTD.,4.1,18,Hospital,"ZAINUL HAQUE SIKDER WOMEN'S MEDICAL COLLEGE & HOSPITAL (PVT.) LTD, House # 5 Rd 104",Yes,https://www.uhlbd.com/,"""Neat & Clean hospital."""
MedPark Hospital Bangladesh Office,,,Hospital,Plot 2 Rd 21,No,,
"Square Hospital Consultation & Diagnostic Center, Banani",3.8,11,Hospital,"Classic Tower (2nd Floor), House-1, Road-11, Block-F",No,,
Dhaka Healthcare Systems Ltd.,4,2,Hospital,"House # 07 Road # 08 , Madani Avenue, baridhara j block Rd",Yes,,
Fairways Medical Centre Ltd.,4.5,16,Hospital,"1st Floor, House:25, Taj Marriot, Gulshan Ave",Yes,http://labaidgroup.com/specialized,
Gulshan Medicare,3.4,9,Hospital,"3rd Floor, Lotus Kamal Tower - 2, 59, 61, Gulshan South Avenue",No,http://www.gulshanmedicalbd.com/,
Bumrungrad International Hospital Bangladesh,5,2,Hospital,154 Rd 11,Yes,https://www.bumrungradbangladesh.com/,
BANGLADESH DIABETIC SHOMITY (Gulshan Healthcare Centre),4.5,2,Medical Center,QCR9+2WG,No,,
EASTERN CARE Hospital Limited,4.6,9,Hospital,"7, 3/A Rd No 27",Yes,,
ANAS MEDICAL CENTER,5,2,Medical Center,"Tower, House 11/A, Mehenaz Monsur, Rd 130",No,https://anasmedicalcenter.com/,
cardihope hospital,,,Hospital,2 Gulshan Ave,,,
Shahabuddin Medical College Hospital,3.9,191,Hospital,House-12 Rd No 113/A,Yes,http://www.shahabuddinmedical.org/,
Medica Diagnostic & Hospital Management Software,5,1,Hospital,"QCV4+GV6, Kemal Ataturk Ave",No,,
Gulshan Maa O Shishu Clinic Ltd.,4.5,31,Hospital,·,Yes,http://www.gulshanmaaoshishuclinic.com/,"""Not a great hospital, infrastructure-wise"""
yolk hospital limited,,,Hospital,QCW2+J5W,,,
Rx Medical Center,4.3,71,Medical Center,"CWN(B)6, Rd 36",No,,"""Good Services, All stuff are Cooperative."""
Surecell Medical Bangladesh Ltd.,4.3,44,Hospital,Plot 2 Rd 21,No,http://www.surecellbd.com/,"""Hospitals clinical diagnosis is very sharp."""
Parkway Health DMRC,4,1,Hospital,"Suit B-3, Level 4, House 10, Rd 53",Yes,,
বনানী মেডিকেল,5,1,Hospital,QCV3+HPR,,,
Nanavati Max,,,Hospital,"House #21, Bashati Horizon, Level 9, Block # C Rd No 17",,http://nanavatimaxcarebd.com/,
Rainbow Hearts Madical Centre,3.9,7,Hospital,"House No # 79, (2nd floor Block # J, Airport Road Banani",No,https://www.rhmcbd.com/,
Medison Medical Services Limited,4,2,Medical Center,"Rangs Paramount 2, 1st Floor, House - 11, Road - 17, Block - K",No,https://www.medisonbd.com/,
বনানী ক্লিনিক লিমিটেড,4,39,Hospital,"Block-C, House # 116 Rd No-15",Yes,https://m.facebook.com/bananihospital/,"""Good care, treatments hospital."""
Delta Medical Center Ltd,4.7,6,Medical Center,27 Road 01,No,,
Bumrungrad Hospital Bangladesh | Patient Support Center In Gulshan Dhaka | Book Your Doctor Appointment at Bumrungrad,4.8,16,Medical Center,"Infront of Bank Asia, Monsur Tower, Lift 8 Rd 130",Yes,https://www.bumrungradbangladesh.com/home,"""All kinds of services are available in the hospital."""
Rainbo Hart Medical,,,Hospital,"House no 75, 13A রোড নং:- ৪",,,
Medinova Medical Services Ltd.,3,2,Medical Center,71/A Road No. 5,,,
BANGKOK HOSPITAL OFFICE BANGLADESH,4.1,10,Hospital,"Block G, Level 4, House 32, Road 11",No,http://www.lifeandhealthbd.com/,
Z H sikdar Cardiac Care And Research Center,5,1,Hospital,19 Rd 105,,,
twelve rivers trust,,,Hospital,"Flat-6C, H-7 Rd 33",,,
Bumrungrad Hospital Dhaka Office,4.9,36,Medical Center,Rd 21,No,https://www.thaimedixpress.com/,"""We are so blessed in Bangkok to have one of the top hospitals in the nation."""
Jahurul Islam Medical College Hospital,5,1,Hospital,"9th Floor, Delta Dahlia, 36 Kemal Ataturk Ave",,,
"Eye Bank, 305 & 306 no word,Dhaka Medical College Hospital",,,Hospital,"QCQ9+QQ9, Shahabuddin Medical College Hospital Rd",,,
Al-Ghofily Medical Centre,4.3,8,Medical Center,17/A Rd No 17A,,,
PULSE MEDICAL CENTRE LTD.,2.5,12,Hospital,"Block B, House 111 Rd Number 4",No,http://pulsemedicalbd.com/,
Square Hospitals Limited | Corporate Office,5,2,Hospital,"48, Square Centre, Bir Uttam AK Khandakar Rd",No,,
Nafa Medical Centre,3.9,10,Medical Center,"House # 30, Road # 4, Block # C, Banani,",No,http://www.nafamedicalbd.com/index.php?page=2,
M.R Center,5,1,Hospital,"Shorgo, Level-10th, House # # # E, Banani C/A, 1213., 49 Rd No 17",,,
Mukti Drug Helpline Ltd,4.9,12,Hospital,"237, রাজধানী কমপ্লেক্স, 2 নিউ এলিফ্যান্ট রোড",Yes,http://www.muktidrughelpline.com/,
"BRAC MATERNITY CENTER (BMC), Korail",,,Maternity hospital,QCP6+2H7,Yes,http://brac.net/,
Baridhara Genarel Hospital Ltd.,3.7,23,Hospital,·,Yes,,
Upasham Health Point-Pvt Ltd.,3.8,48,Hospital,"H-14, R-2/B, J Block, Baridhara, Vatara, Dhaka-1212 Dhaka",No,http://upashamdhaka.com/,"""A trustworthy privet hospital in nearest zones"""
GREENLAND MEDICAL CENTRE LTD,4,2,Medical Center,1 Gulshan Ave,,http://greenlandmedicalltd.com/,
Shikder Medical Check Up Center,,,Medical Center,"102/8, New Airport Road, Banani, Near the Kakoli Over Bridge",No,,
Pulse Healthcare Services,5,1,Medical Center,"House-33, Road-24/30",No,http://mypulse.com.bd/,
Senior Citizen Hospital - Baridhara,4.5,37,Hospital,"Senior Citizen Hospital, House# 8, Road# 8, Baridhara Block# J Dhaka",Yes,http://seniorcitizenhospital.com/,"""Specialized hospital for all age people specially for old aged patients."""
Hossainia Dental care,,,Hospital,"RC47+3MJ, কিশোরগঞ্জ - করিমগঞ্জ সড়ক",,,
Chandshi Medical Centre Ltd,4.5,2,Medical Center,"Block – k, House # 16 Rd No.28",,,
Chowa Physio & Dental Care,4.8,24,Hospital,house 7a Road No. 41,No,https://chowa.com.bd/,"""All the doctors and stuff behaviour is so good."""
Makkha Medical Centre,4,22,Medical Center,"28 & 30, Ahmed Tower, level 3, Kamal Ataturk Ave",No,http://www.makkhamedicalbd.com/,
Beaco Point Ltd.,,,Hospital,1 Road 23/A,,http://www.beaconpointbd.com/,
আবিসিনিয়া হেল্থ কেয়ার এন্ড মেডিকেল চেক-আপ সেন্টার,4,1,Medical Center,QCR4+M3V,Yes,,
Level 5 Doctors,,,Heart hospital,Rd Number 4,Yes,,
Gulshan Health Care Center,,,Hospital equipment and supplies,"Sheba House, Plot 34 Road: 46",,,
PCOS Centre Bangladesh,,,Medical Center,"Flat 4C House, PeriWinkle, 12 Rd 126",,,
Thyrocare Consultation Center (Wellness & Aesthetics),5,1,Medical Center,"Tower, House 72, Level, Rupsha, 3 Road No. 11",No,http://www.thyrocarebd.com/,
ত্রিশাল উপজেলা স্বাস্হ্য কমপ্লেক্স।,,,Hospital,"Q9PX+JVP, Dhaka - Mymensingh Hwy",,,
Cancers Clinic,,,Medical Center,"House # 12 & 13, Rd 22, Block#K",Yes,http://www.cancersclinic.com/,
National kalaazar elimination conference room,,,Hospital,95 গুলশান বাড্ডা সংযোগ সড়ক,,,
Pulse Medical Centre Ltd.,2.6,5,Medical Center,"House 111, Road 4, Block B",,http://pulsemedicalbd.com/,
Safa Diagnostic Center,,,Medical Center,QCV2+F7C,No,,
Ahmad Sharif,,,Hospital,"QCJ4+8W4, Toll Booth, Jatrabari Gulistan Flyover",,,
Stroke & Neuro Rehab Clinic | Senior Citizen Hospital,5,1,General hospital,"Stroke & Neuro Rehab Clinic, Piles Clinic, House# 8, Road# 8, Baridhara Block# J Dhaka",Yes,,
Star Cure Medical Centre,3.7,3,Medical Center,10 Dhaka - Mymensingh Hwy,No,,
Upazila Health Complex,,,Government hospital,RC66+4XQ,,,
Life Care Medical Center,4.5,10,Medical Center,"JA 28, 8-D Bir Uttam AK Khandakar Rd",No,,"""Lots of beautiful environment inside the medical."""
USA Bangladesh Cosmetic & Laser Clinic Ltd.,5,3,Hospital,"House 1213, 78/E Rd 12",Yes,,
Gulshan medicare,4,5,Medical Center,"লোটাস কামাল টাওয়ার - ২, 59, 61Gulshan South Avenue (3rd Floor, গুলশান এভিনিউ",,http://gulshanmedicalbd.com/,
Doctors support Centre,,,Hospital,"74, B/A, Wierless Gate, Mohakhali, C/A, ঢাকা",Yes,,
BGMEA HEALTH CENTER Niketon,,,Hospital,"Block G Road 14/A, Rd No 3",,,
"Aalo Clinic, Karail (আলো ক্লিনিক, কড়াইল)",5,11,Hospital,"South of Banani Ansar Camp, Karail Jamai Bazar",No,,"""The hospital is serving well."""
Al-Amin Medical Check-Up Center,3.7,3,Medical Center,"84/6, 1213 Dhaka - Mymensingh Hwy",No,http://alaminmedicalcheckup.com/,
neeramoy,,,Medical Center,"L4, 34 Kemal Ataturk Ave",,http://neeramoy.com/,
MediScan Diagnostic & Pharmacy Management Software,5,1,Hospital,QCV3+HPR,No,,
Pushpo Clinic,2.8,13,Medical Center,"H/101 Kakoli, Dhaka - Mymensingh Hwy Mymensingh Hwy, Dhaka 1212",No,http://www.pushpomedicalbd.com/,"""Good hospital.But it's totally private."""
AMF Eye Hospital,4,4,Hospital,"Ta - 136, Gulshan Badda Link Rd",No,,
BHALUKA Mohammadia model hospital,,,Hospital,"RC66+4XQ, Bhaluka, Bangladesh Dhaka highways",,,
The Concept Home Health Care agency,5,1,Hospital,"88/A, Comilla Para Rd",,,
Banani Clinic Ltd.,4,5,Hospital,"QCC4+WQJ, Rd No 13C",Yes,,
ফিজিওথেরাপি,5,2,Hospital,QCG6+XM2,No,,
shayek hospital,3.3,3,Hospital,QCH4+259,No,,"""Vary good hospital with low cost."""
AMZ Hospital Ltd.,4.2,176,Hospital,·,Yes,http://www.amzhospitalbd.com/,"""They have advance facilities that I didn't see in other hospitals ."""
Dynamic Medical Centre,,,Medical Center,"Tower Flat 12/B, Rupsha, Plot 07 Rd No 17",,,
বকাউল বাড়ী জামে মসজিদ,,,Hospital,"RC66+4XQ, পশ্চিমকান্দি, সৈয়দপুর",,,
RAHETID,4.3,32,General hospital,"C/A, Zahed Plaza, 3rd Floor, 30 Gulshan North Ave",Temporarily closed,,"""Otherwise it was all good."""
Badda General Hospital Pvt. Ltd.,3.8,102,Hospital,"QCHG+MHV, 107/2, Uttar Badda, Progoti Sarani",Yes,,"""There was only one doctor in the hospital."""
Sultan General Hospital,4,26,General hospital,84 Dhaka - Mymensingh Hwy,Yes,http://sultangeneralhospital.com/,"""Important Hospital in this area."""
Sara Medical Center,5,7,Medical Center,"World Business Centrum, 76/A, 1213 Road No. 11",No,http://sara-medical.com/,"""... 10 out of 10 institutions in the list of service institutions."""
Medilink Hospital,4,14,Hospital,QCJG+7G8,Yes,,"""Poor service,not a good hospital"""
আল-মদিনা মেড়িকেল,1,1,Medical Center,7 Rd No. 4,,,
Lifeline Medical Service Ltd,3.7,30,Private hospital,"Rahman Mansion, 75 Wireless Gate",No,,"""A good team of doctors are available."""
NIDCH,4.2,521,Government hospital,·,Yes,http://www.nidch.gov.bd/,"""hospitals but mess people and patients gathering here."""
Galib Health Care Ltd.,,,Medical Center,"Anser camp, Karail",,,
The New Hope,5,2,Hospital,"72/7, Lake View Road, House 7, Road 3/b",Yes,,
City Medical,,,Hospital,"QCH5+FFM, TB Gate Rd",,,
East wast medical hospital,,,Hospital,"QCJF+WCR, DHasB",,,
Hia - হিয়া,,,Hospital,Baridhara J Block,Yes,,
Mercy Promy,,,Hospital,RC66+4XQ,,,
Gulshan Maa O Shishu Clinic Limited,3.6,30,Medical clinic,"QCWG+R5Q, Kolotan School Rd",Yes,,"""A hospital for maternal health"""
MUSCAT MEDICAL CENTER,1.8,5,Medical Center,"H/101, Kakoli,, Dhaka - Mymensingh Hwy",No,,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka-1212",4.1,396,Hospital,Shaheed Tajuddin Ahmed Ave,Yes,http://www.dncc-dch.gov.bd/,"""I liked the spacious hospital."""
"Dhaka Islamia Eye Hospital, Badda",5,1,Hospital,"GA-95, Shoinik Bhaban, 5 Gulshan Badda Link Rd",,,
"International Health Centre Ltd, Kuril Biswha Road",3.7,19,Private hospital,RC9C+283,No,http://www.ihcmedicalbd.com/,
Baridhara General Hospital Limited,5,6,Hospital,"Ka-54/1, 1212 Progoti Sharani",Yes,http://www.bghbd.com/,"""Amazing hospital with experienced doctors and satisfied by their services."""
"Block-B,Administration Building,NICRH",4,1,Hospital,"QCH5+7M3, TB Gate Rd",,,
